,TF,MNN,NCNN,ONNX,OV,,,,,,,,,
CPU,EF2,,SWF,,EMO,,ENX,,MV2,,MV,,LVT,
RWC,TF,OV,OV,OV,TF,OV,MNN,OV,TF,OV,OV,OV,ONNX,OV
CMT,MNN,OV,MNN,OV,TF,OV,MNN,MNN,ONNX,TF,ONNX,OV,MNN,OV
LNC,TF,OV,OV,OV,TF,OV,MNN,OV,TF,TF,OV,OV,OV,OV
SMT,MNN,OV,MNN,OV,TF,OV,MNN,OV,TF,TF,MNN,OV,MNN,OV
M1P,MNN,MNN,MNN,MNN,TF,MNN,MNN,TF,NCNN,NCNN,TF,MNN,MNN,MNN
M1E,TF,MNN,TF,TF,TF,TF,MNN,MNN,NCNN,NCNN,TF,MNN,MNN,MNN
A71x,TF,MNN,TF,TF,TF,TF,MNN,MNN,NCNN,NCNN,TF,MNN,TF,MNN
A78,TF,MNN,TF,TF,TF,TF,MNN,MNN,NCNN,NCNN,TF,MNN,MNN,MNN
A76,TF,MNN,TF,MNN,TF,TF,MNN,MNN,NCNN,NCNN,TF,MNN,MNN,MNN
A55,TF,MNN,TF,TF,TF,TF,MNN,MNN,NCNN,NCNN,TF,TF,TF,MNN
A73,MNN,TF,TF,TF,TF,TF,TF,TF,TF,TF,TF,TF,MNN,TF
A72,TF,MNN,TF,MNN,TF,MNN,TF,MNN,NCNN,NCNN,TF,ONNX,MNN,TF
M5,TF,,TF,,TF,,MNN,,TF,,TF,,TF,
X3,TF,,MNN,,TF,,MNN,,NCNN,,TF,,MNN,
X1,TF,,MNN,,TF,,MNN,,TF,,TF,,MNN,
A75,TF,,TF,,TF,,MNN,,TF,,TF,,TF,
T200,TF,,MNN,,TF,,MNN,,NCNN,,TF,,MNN,
A510,TF,,TF,,TF,,MNN,,TF,,TF,,TF,
A53,TF,,TF,,TF,,TF,,NCNN,,TF,,TF,
