,,A55 CPU FP16,,,,,
,GMACs,Top-1 //20 est.,Latency(ms),备注,,,
EF2,0.4,75.30%,72.09,tflite,76.16%,88.62,tflite+litert+armnn
EF2,0.65,77.00%,110.44,,78.80%,129.95,
EF2,1.25,81.60%,194.57,,82.20%,222.29,
SWF,0.4,75.92%,99.38,tflite+litert+armnn,75.60%,92.5,tflite
SWF,1,78.36%,138.4,,77.40%,134.38,
SWF,1.6,80.52%,203.71,,79.60%,202.08,
EMO,0.26,70.80%,119.79,tflite->mnn,,,
EMO,0.44,74.70%,167.62,,,,
EMO,0.96,79.10%,276.97,,,,
ENX,0.26,70.80%,66.03,mnn,,,
ENX,0.54,74.60%,123.84,,,,
ENX,1.26,78.50%,228.88,,,,
MV2,0.5,69.70%,86.17,ncnn,,,
MV2,1,75.00%,154.6,,,,
MV2,1.8,77.90%,240.7,,,,
MV,0.36,68.80%,95.64,tflite,,,
MV,0.89,74.00%,202.08,,,,
MV,2,77.60%,318.54,,,,
LVT,0.3,76.10%,42.57,tflite,,,
LVT,0.41,79.40%,58.31,,,,
LVT,0.66,79.80%,84.29,,,,
CNN,0.29,75.40%,32.62,ncnn,,,
CNN,0.72,78.32%,89.19,ncnn,,,
CNN,1.2,79.28%,135.87,,,,
CNN,1.7,81.64%,188.81,,,,
