,,M1 GPU FP16,
,GMACs,Top-1 //20 est.,Latency(ms)
EF2,0.4,76.40%,4.44
EF2,0.65,78.80%,4.43
EF2,1.25,81.90%,5.92
SWF,0.4,76.20%,4.22
SWF,1,78.30%,5.25
SWF,1.6,80.70%,6.2
EMO,0.26,70.70%,4.12
EMO,0.44,74.80%,4.79
EMO,0.96,79.20%,6.25
ENX,0.26,70.80%,3.66
ENX,0.54,74.90%,4.47
ENX,1.26,80.70%,4.63
MV2,0.5,69.90%,4.18
MV2,1,75.00%,4.88
MV2,1.8,77.90%,5.99
MV,0.36,69.00%,4.23
MV,0.89,74.20%,6.04
MV,2,77.60%,7.62
LVT,0.3,75.90%,3.37
LVT,0.41,79.20%,4.16
LVT,0.66,79.80%,4.16
CNN,0.29,75.60%,4.49
CNN,0.72,78.20%,4.62
CNN,1.2,79.30%,5.1
CNN,1.7,81.70%,7.27
