,,AIP NPU FP16,,,
,GMACs,Top-1 //20 est.,Latency(ms),,
EF2,0.4,75.20%,8.74,,
EF2,0.65,78.80%,10.83,,
EF2,1.25,81.60%,17.91,,
SWF,0.4,76.20%,7.31,,
SWF,1,78.30%,9.17,,
SWF,1.6,80.70%,11.3,,
EMO,0.26,70.80%,14.36,,
EMO,0.44,74.80%,21.64,,
EMO,0.96,79.20%,30.65,,
ENX,0.26,70.70%,8.57,,
ENX,0.54,74.90%,11.97,,
ENX,1.26,80.20%,14.81,,
MV2,0.5,69.80%,5.38,,
MV2,1,75.00%,7.58,,
MV2,1.8,77.90%,9.72,,
MV,0.36,69.20%,8.54,,
MV,0.89,74.20%,13.35,,
MV,2,77.60%,16.7,,
LVT,0.3,76.00%,3.89,,
LVT,0.41,79.30%,5.07,,
LVT,0.66,79.80%,5.45,,
CNN,0.29,75.70%,3.5,,
CNN,0.72,78.20%,3.84,,
CNN,1.2,79.30%,6.02,,
CNN,1.7,81.70%,9.28,,
