,,lunarlake NPU FP16,,,
,GMACs,Top-1 //20 est.,Latency(ms),,
EF2,0.4,76.30%,2.07,,
EF2,0.65,78.80%,2.79,,
EF2,1.25,82.10%,4.25,,
SWF,0.4,76.20%,9.19,,
SWF,1,78.40%,9.11,,
SWF,1.6,80.60%,9.39,,
EMO,0.26,70.80%,3.47,,
EMO,0.44,74.80%,4.13,,
EMO,0.96,79.10%,4.23,,
ENX,0.26,70.80%,2.82,,
ENX,0.54,74.70%,3.2,,
ENX,1.26,80.60%,3.83,,
MV2,0.5,70.00%,2.75,,
MV2,1,75.00%,2.85,,
MV2,1.8,78.00%,3.21,,
MV,0.36,68.90%,7.41,,
MV,0.89,74.10%,7.83,,
MV,2,77.60%,8.06,,
LVT,0.3,75.90%,8.23,,
LVT,0.41,79.40%,8.56,,
LVT,0.66,79.60%,11.5,,
CNN,0.29,75.70%,0.88,,
CNN,0.72,78.30%,1.89,,
CNN,1.2,79.40%,2.35,,
CNN,1.7,81.70%,2.97,,
