,A55,,,,,,A76,,,,,,M1P,,,,
,TFLite,MNN,ONNX,orch.compile,TVM,,TFLite,MNN,ONNX,orch.compile,TVM,,TFLite,MNN,ONNX,orch.compile,TVM
EF2-s0,72.09,94.86,262.15,628.36,389.37,,21.57,24.18,71.43,163.39,121.24,,8.49,7.54,21.97,71.08,44.96
SWF-XS,92.5,114.25,243.83,495.12,370.76,,29.7,31.73,65.31,129.61,106.13,,11.16,9.9,23.68,49.84,40.87
EMO-1M,65.59,119.79,180.2,449.27,242.91,,18.73,31.19,43.72,103.03,60.65,,6.65,9.56,15.18,27.49,21.41
ENX-XXS,84.86,66.03,171.1,351.76,181.33,,24.27,17.35,45.97,80.3,51.2,,9.19,5.43,14.9,28.85,19.68
MV2-0.5,93.27,161.57,221.23,595.41,295.49,,28.36,43.82,51.4,129.71,66.63,,11.87,13.13,18.66,40.33,20.73
MV-XXS,96.43,169.05,201.47,702.23,298.86,,30.75,43.34,49.13,148.87,80.25,,10.8,12.94,16.83,40.87,32.19
LVT-128s,42.57,49.7,100.37,362.86,71.58,,13.87,13.93,25.01,55.37,17.41,,5.11,4.85,8.68,17,5.25
,,,,,,,,,,,,,,,,,
备注：,需要画图脚本自动预处理，这里只给出原始数据,,,,,,,,,,,,,,,,
