,Top-1,Top-1 //20 est.,Top-1 //50 est.
EF2-s0,76.20%,76.30%,76.00%
EF2-s1,79.70%,78.80%,79.60%
EF2-s2,82.00%,82.00%,81.90%
,Top-1,Top-1 //20 est.,Top-1 //50 est.
SWF-XS,75.70%,76.10%,75.30%
SWF-S,78.50%,78.30%,78.30%
SWF-L1,80.90%,80.70%,81.80%
,Top-1,Top-1 //20 est.,Top-1 //50 est.
EMO-1M,71.50%,70.70%,68.30%
EMO-2M,75.10%,74.80%,73.60%
EMO-6M,79.00%,79.20%,77.90%
,Top-1,Top-1 //20 est.,Top-1 //50 est.
ENX-XXS,71.20%,70.80%,70.40%
ENX-XS,74.90%,74.90%,74.90%
ENX-S,81.10%,80.80%,80.00%
,Top-1,Top-1 //20 est.,Top-1 //50 est.
MV2-0.5,70.20%,69.90%,66.70%
MV2-0.75,75.60%,75.00%,74.40%
MV2-1.0,78.10%,77.90%,76.90%
,Top-1,Top-1 //20 est.,Top-1 //50 est.
MV-XXS,68.90%,68.90%,66.60%
MV-XS,74.70%,74.30%,73.90%
MV-S,78.20%,77.70%,78.10%
,Top-1,Top-1 //20 est.,Top-1 //50 est.
LVT-128S,76.50%,75.90%,76.20%
LVT-128,78.60%,79.30%,78.20%
LVT-192,79.90%,79.80%,79.30%
