,A78 MNN,,A78 TFLite,,Orin GPU TensorRT,,LunarLake GPU Openvino,,LunarLake NPU Openvino,,Ascend310B NPU CANN,
,FP16,INT8,FP16,INT8,FP16,INT8,FP16,INT8,FP16,INT8,FP16,INT8
Conv_GEMM,11.722344,8.42308,11.836,11.435,0.9862,1.2417,,,0.403,0.734,6.9927,7.1391
Attn_MatMul,1.841713,3.389613,3.283,3.246,0.7409,0.8529,,,3.403,3.676,0.4326,1.2427
Attn_SoftMax,2.139293,10.357842,0.809,1.559,0.3538,0.3731,,,2.577,4.022,3.1793,3.1785
MISC_PWOP,1.195969,5.306907,1.8,2.632,1.8048,1.8593,,,1.573,2.529,10.6493,11.8563
Fake_Quant,,,,,,,,,,0.686,,
,,,,,,,,,,,,
load,8457857,16175182,19527725,18687774,,,,,,,,
store,2299143,5453768,1885217,4752851,,,,,,,,
integer,7956068,25591477,7430213,21388533,,,,,,,,
simd,59417379,70627467,66221414,53500714,,,,,,,,
,,,,,,,,,,,,
